url,id,name,author,star_rating,num_ratings,num_reviews,summary,genres,first_published,year_published,about_author,community_reviews,kindle_price,in_ext,content_focus,external_checked
https://www.goodreads.com/book/show/318028.Il_Gigante,318028.Il_Gigante,"Il Gigante: Michelangelo, Florence, and the David 1492-1504","[""Anton Gill""]",3.46,85,12.0,"At the turn of the 16th century, Italy was a turbulent territory made up of independent states, each at war with or intriguing against its neighbor. There were the proud, cultivated, and degenerate Sforzas in Milan, and in Rome, the corrupt Spanish family of the Borgia whose head, Rodrigo, ascended to St Peter's throne as Pope Alexander VI. In Florence, a golden age of culture and sophistication ended with the death of the greatest of the Medici family, Lorenzo the Magnificent, giving way to an era of uncertainty, cruelty, and religious fundamentalism.

In the midst of this turmoil, there existed the greatest concentration of artists that Europe has ever known. Influenced by the rediscovery of the ancient cultures of Greece and Rome, artists and thinkers such as Botticelli and da Vinci threw off the shackles of the Middle Ages to produce one of the most creative periods in history - the Renaissance.

This is the story of twelve years when war, plague, famine, and chaos made their mark on a volatile Italy, and when a young, erratic genius, Michelangelo Buonarroti, made his first great statue - the David. It was to become a symbol not only of the independence and defiance of the city of Florence but also of the tortured soul who created it. This is a wonderful history of the artist, his times, and one of his most magnificent works.","[""Art"",""History"",""Art History"",""Italy"",""Biography"",""Nonfiction""]",1/28/2002,2002.0,"{""name"":""Anton Gill"",""num_books"":57,""num_followers"":""60""}","{""1_stars"":{""reviews_num"":2,""reviews_percentage"":2},""2_stars"":{""reviews_num"":9,""reviews_percentage"":10},""3_stars"":{""reviews_num"":35,""reviews_percentage"":41},""4_stars"":{""reviews_num"":26,""reviews_percentage"":30},""5_stars"":{""reviews_num"":13,""reviews_percentage"":15}}","""$11.99""",external,external_focus,True
https://www.goodreads.com/book/show/310054.Final_Analysis,310054.Final_Analysis,Final Analysis: The Untold Story of the Susan Polk Murder Case,"[""Catherine Crier""]",3.38,475,51.0,"In October 2002, Susan Polk, a housewife and mother of three, was arrested for the murder of her husband, Felix. The arrest in her sleepy northern California town kicked off what would become one of the most captivating murder trials in recent memory, as police, local attorneys, and the national media sought to unravel the complex web of events that sent this seemingly devoted housewife over the edge.

Now, with the exclusive access and in-depth reporting that made A Deadly Game a number one New York Times bestseller, Catherine Crier turns an analytical eye to the story of Susan Polk, delving into her past and examining how over twenty years of marriage culminated in murder. Tracing the family's history, Crier skillfully maneuvers the murky waters of the Polk's marriage, looking at the real story behind Susan, Felix, and their unorthodox courtship. When Susan was in high school, Felix, who was more than twenty years her senior, had been her psychologist, and it was during their sessions that the romantic entanglement began. From these troubling origins grew a difficult marriage, one which produced three healthy boys but also led to disturbing accusations of abuse from both spouses.

With extraordinary detail, Crier dissects this dangerous relationship between husband and wife, exposing their psychological motivations and the painful impact that these motivations had on their sons, Adam, Eli, and Gabriel. Drawing on sources from all sides of the case, Crier masterfully reconstructs the tumultuous chronology of the Polk family, telling the story of how Susan and Felix struggled to control their rambunctious sons and their disintegrating marriage in the years and months leading up to Felix's death.

But the history of the Polk family is only half the story. Here Crier also elucidates the methodical police work of the murder investigation, revealing never-before-seen photos and writings from the case file. In addition, she carefully scrutinizes the many twists and turns of the remarkable trial, exploring Susan's struggles with her defense attorneys and her shocking decision to represent herself.

Dark, psychological, and terrifying, Final Analysis is a harrowing look at the recesses of the human mind and the trauma that reveals them.","[""True Crime"",""Nonfiction"",""Crime"",""Mystery"",""History"",""Audiobook""]",1/1/2007,2007.0,"{""name"":""Catherine Crier"",""num_books"":10,""num_followers"":""95""}","{""1_stars"":{""reviews_num"":31,""reviews_percentage"":6},""2_stars"":{""reviews_num"":53,""reviews_percentage"":11},""3_stars"":{""reviews_num"":177,""reviews_percentage"":37},""4_stars"":{""reviews_num"":131,""reviews_percentage"":27},""5_stars"":{""reviews_num"":83,""reviews_percentage"":17}}","""$4.99""",external,internal_focus,True
https://www.goodreads.com/book/show/542884.Breaking_Loose_Together,542884.Breaking_Loose_Together,Breaking Loose Together: The Regulator Rebellion in Pre-Revolutionary North Carolina,"[""Marjoleine Kars""]",3.95,77,7.0,"Ten years before the start of the American Revolution, backcountry settlers in the North Carolina Piedmont launched their own defiant bid for economic independence and political liberty. The Regulator Rebellion of 1766-71 pitted thousands of farmers, many of them religious radicals inspired by the Great Awakening, against political and economic elites who opposed the Regulators' proposed reforms. The conflict culminated on May 16, 1771, when a colonial militia defeated more than 2,000 armed farmers in a pitched battle near Hillsborough. At least 6,000 Regulators and sympathizers were forced to swear their allegiance to the government as the victorious troops undertook a punitive march through Regulator settlements. Seven farmers were hanged.

Using sources that include diaries, church minutes, legal papers, and the richly detailed accounts of the Regulators themselves, Marjoleine Kars delves deeply into the world and ideology of free rural colonists. She examines the rebellion's economic, religious, and political roots and explores its legacy in North Carolina and beyond. The compelling story of the Regulator Rebellion reveals just how sharply elite and popular notions of independence differed on the eve of the Revolution.","[""History"",""Nonfiction"",""American History""]",2/25/2002,2002.0,"{""name"":""Marjoleine Kars"",""num_books"":5,""num_followers"":""12""}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":4,""reviews_percentage"":5},""3_stars"":{""reviews_num"":19,""reviews_percentage"":24},""4_stars"":{""reviews_num"":31,""reviews_percentage"":40},""5_stars"":{""reviews_num"":23,""reviews_percentage"":29}}","""$16.19""",external,external_focus,True
https://www.goodreads.com/book/show/29769775-db-cooper-and-the-fbi,29769775-db-cooper-and-the-fbi,DB Cooper and the FBI: A Case Study of America's Only Unsolved Skyjacking,"[""Bruce A.  Smith""]",3.79,63,11.0,"In 1971, a man known as DB Cooper hijacked a Northwest Orient airliner flying from Portland, Oregon to Seattle, Washington. After exchanging the passengers at SEA-TAC airport for $200,000 and four parachutes, Cooper instructed the pilots to fly him to ""anywhere in Mexico.” A few minutes after take-off, he lowered the aft staircase and jumped into the chilly, rainy night skies north of Portland.He has never been seen since, and his identity is still unknown. After forty years of investigation the FBI still doesn’t know who Cooper was or if he survived, and nothing has ever been found of the skyjacking—no parachutes, no body or clothes, nor any of the money, except for $5,800 a young boy found eight years later buried on a Columbia River beach. Adding to the intrigue, no one knows how the money got there or when.As a result, it is as if Cooper came from nowhere and returned there when he made his getaway.Now after years of research and writing, a comprehensive case history of the skyjacking is available, and the reader can examine the facts of the case, and assess the FBI's efforts to find DB Cooper. Shockingly, the Bureau’s investigation has been crippled by lost evidence, inaccurate record-keeping, and ineffective leadership. As we learned in 9-11, the FBI has difficulty ""connecting the dots"" in complicated investigations that span multiple jurisdictions, and the same is true with DB Cooper.For example: the FBI gave DB Cooper a 40-hour head start before anyone went looking for him in the woods of southeast Washington State. More troubling, critical evidence has been lost—the eight cigarette butts Cooper left on the plane, which would give us his DNA profile via the dried saliva. Perhaps more disturbing, though, the cigarette butts went missing after their true value was realized in 2002, along with the documentation on the FBI's findings.In addition, the FBI’s chief technical expert, Earl Cossey, was murdered in 2013 when his credibility plummeted as Internet sleuths revealed his fraudulent and deceptive history, and how the FBI was duped. Or was it?But this book is more than a true-crime thriller. ""DB Cooper and the FBI"" reveals how law enforcement truly functions in our country, and so it delivers a measure of justice to the arrogant, the hubristic, and the guilty.","[""Nonfiction"",""True Crime"",""History""]",3/17/2015,2015.0,"{""name"":""Bruce A.  Smith"",""num_books"":1}","{""1_stars"":{""reviews_num"":2,""reviews_percentage"":3},""2_stars"":{""reviews_num"":7,""reviews_percentage"":11},""3_stars"":{""reviews_num"":13,""reviews_percentage"":20},""4_stars"":{""reviews_num"":21,""reviews_percentage"":33},""5_stars"":{""reviews_num"":20,""reviews_percentage"":31}}","""$9.99""",external,external_focus,True
https://www.goodreads.com/book/show/13631780-an-eye-for-an-eye,13631780-an-eye-for-an-eye,An Eye for an Eye,"[""Simone de Beauvoir""]",4.1,72,6.0,"Where does vengeance end and justice begin? The question is no easier to resolve today than when Simone de Beauvoir wrote this compelling essay in the aftermath of World War II. 

The immediate occasion for “An Eye for an Eye” was the execution by firing squad of French collaborator Robert Brasillach, a prominent right-wing author who had edited a fascist newspaper during the Occupation. Beauvoir had been in the courtroom for Brasillach’s trial and admits that she was moved by the man’s dignity on the stand. Nevertheless she and Jean-Paul Sartre refused to sign the petition circulated by leading cultural figures of the day calling for his pardon. 

In this essay, originally published in 1946, now translated from the French with an introduction by Lisa Lieberman. she explains why.","[""Philosophy"",""Nonfiction"",""History"",""Politics"",""Essays""]",1/1/1987,1987.0,"{""name"":""Simone de Beauvoir"",""num_books"":320,""num_followers"":""9437""}","{""1_stars"":{""reviews_num"":0,""reviews_percentage"":0},""2_stars"":{""reviews_num"":2,""reviews_percentage"":2},""3_stars"":{""reviews_num"":16,""reviews_percentage"":22},""4_stars"":{""reviews_num"":27,""reviews_percentage"":37},""5_stars"":{""reviews_num"":27,""reviews_percentage"":37}}","""$1.99""",external,external_focus,True
https://www.goodreads.com/book/show/558007.Dance_with_the_Devil,558007.Dance_with_the_Devil,Dance with the Devil: A Memoir of Murder and Loss,"[""David Bagby""]",4.03,1029,117.0,"Immortalized in the spellbinding documentary Dear Zachary, this angry, raw, and brutally honest memoir of murder and loss chronicles a system’s failure to prevent the death of a child.


In November 2001, the body of a young doctor named Andrew Bagby was discovered in Keystone State Park outside Latrobe, Pennsylvania, five bullet wounds in his face, chest, buttocks, and the back of the head. For parents Dave and Kate, the pain was unbearable―but Andrew’s murder was only the first in a string of tragic events.


The chief suspect for Andrew’s murder was his ex-girlfriend Shirley Turner―also a doctor. Obsessive and unstable, Shirley Turner lied to the police and fled to her family home in Newfoundland before she could be arrested. While fending off extradition efforts by U.S. law enforcement, she announced she was pregnant with Andrew's son, Zachary. The Bagbys―hoping to gain custody of Zachary―moved to Newfoundland and began a long, drawn-out battle in court and with Canadian social services to protect their grandson from the woman who had almost certainly murdered their son. Then, in August 2003, Shirley Turner killed herself and the one-year-old Zachary by jumping into the Atlantic Ocean.


DANCE WITH THE DEVIL is a eulogy for a dead son, an elegy for lives cut tragically short, and a castigation of a broken system.","[""True Crime"",""Nonfiction"",""Memoir"",""Crime"",""Biography"",""Audiobook"",""Politics"",""Family"",""Biography Memoir""]",1/1/2007,2007.0,"{""name"":""David Bagby"",""num_books"":1,""num_followers"":""8""}","{""1_stars"":{""reviews_num"":11,""reviews_percentage"":1},""2_stars"":{""reviews_num"":48,""reviews_percentage"":4},""3_stars"":{""reviews_num"":233,""reviews_percentage"":22},""4_stars"":{""reviews_num"":344,""reviews_percentage"":33},""5_stars"":{""reviews_num"":393,""reviews_percentage"":38}}","""$11.99""",external,external_focus,True
https://www.goodreads.com/book/show/314941.Heidegger,314941.Heidegger,Heidegger: an introduction,"[""Richard Polt""]",4.08,205,28.0,"Richard Polt provides a lively and accessible introduction to one of the most influential and intellectually demanding philosophers of the modern era. Covering the entire range of Heidegger's thought, Polt skillfully communicates the essence of the philosopher, enabling readers, especially those new to his writings, to approach his works with confidence and insight. Polt presents the questions Heidegger grappled with and the positions he adopted, and also analyzes persistent points of difference between competing schools of interpretation. The book begins by exploring Heidegger's central concern, the question of Being, and his way of doing philosophy. After considering his environment, personality, and early thought, it carefully takes readers through his best-known work, Being and Time. Heidegger concludes with highlights of its subject's later thought, providing guidelines for understanding Contributions to Philosophy and other important texts. It gives special attention to the philosopher's political involvement with the Nazis in the 1930s, indicating the strengths and weaknesses of the reactions to his politics, reactions ranging from exculpation to complete condemnation.","[""Philosophy"",""Nonfiction"",""School""]",11/1/1998,1998.0,"{""name"":""Richard Polt"",""num_books"":41,""num_followers"":""23""}","{""1_stars"":{""reviews_num"":1,""reviews_percentage"":0},""2_stars"":{""reviews_num"":15,""reviews_percentage"":7},""3_stars"":{""reviews_num"":31,""reviews_percentage"":15},""4_stars"":{""reviews_num"":78,""reviews_percentage"":38},""5_stars"":{""reviews_num"":80,""reviews_percentage"":39}}","""$22.68""",external,external_focus,False
https://www.goodreads.com/book/show/43371.No_One_Left_To_Lie_To,43371.No_One_Left_To_Lie_To,No One Left To Lie To: The Values of the Worst Family,"[""Christopher Hitchens""]",3.89,2741,266.0,"In No One Left to Lie To, Christopher Hitchens portrays President Bill Clinton as one of the most ideologically skewed and morally negligent politicians of recent times. In a blistering polemic which shows that Clinton was at once philanderer and philistine, crooked and corrupt, Hitchens challenges perceptions - of liberals and conservatives alike - of this highly divisive figure.

With blistering wit and meticulous documentation, Hitchens masterfully deconstructs Clinton's abject propensity for pandering to the Left while delivering to the Right and argues that the president's personal transgressions were inseparable from his political corruption.","[""Politics"",""Nonfiction"",""History"",""Biography"",""Journalism"",""American History"",""Essays"",""Philosophy"",""Biography Memoir"",""Political Science""]",1/1/1999,1999.0,"{""name"":""Christopher Hitchens"",""num_books"":162,""num_followers"":""7349""}","{""1_stars"":{""reviews_num"":30,""reviews_percentage"":1},""2_stars"":{""reviews_num"":153,""reviews_percentage"":5},""3_stars"":{""reviews_num"":680,""reviews_percentage"":24},""4_stars"":{""reviews_num"":1109,""reviews_percentage"":40},""5_stars"":{""reviews_num"":769,""reviews_percentage"":28}}","""$9.99""",external,external_focus,True
https://www.goodreads.com/book/show/489046.Jane_Austen_and_Food,489046.Jane_Austen_and_Food,Jane Austen and Food,"[""Maggie Lane""]",3.89,242,44.0,"What was the significance of the pyramid of fruit which confronted Elizabeth Bennet at Pemberley? Or of the cold beef eaten by Willoughby on his journey of repentance to see Marianne? Why is it so appropriate that the scene of Emma's disgrace should be a picnic, and how do the different styles of housekeeping in Mansfield Park engage with the social issues of the day?

While Jane Austen does not luxuriate in cataloguing meals in the way of Victorian novelists, food in fact plays a vital part in her novels. Her plots, being domestic, are deeply imbued with the rituals of giving and sharing meals. The attitudes of her characters to eating, to housekeeping and to hospitality are important indicators of their moral worth. In a practice both economical and poetic, Jane Austen sometimes uses specific foodstuffs to symbolise certain qualities at heightened moments in the text. This culminates in the artistic triumph of Emma, in which repeated references to food not only contribute to the solidity of her imagined world, but provide an extended metaphor for the interdependence of a community.

In this original, lively and well-researched book, Maggie Lane not only offers a fresh perspective on the novels, but illuminates a fascinating period of food history, as England stood on the brink of urbanisation, middle-class luxury, and change in the role of women. Ranging over topics from greed and gender to mealtimes and manners, and drawing on the novels, letters and Austen family papers, she also discusses Jane Austen's own ambivalent attitude to the provision and enjoyment of food.","[""Nonfiction"",""History"",""Food"",""Regency"",""British Literature"",""Historical"",""Cooking"",""Research""]",7/1/1995,1995.0,"{""name"":""Maggie Lane"",""num_books"":49,""num_followers"":""14""}","{""1_stars"":{""reviews_num"":6,""reviews_percentage"":2},""2_stars"":{""reviews_num"":12,""reviews_percentage"":4},""3_stars"":{""reviews_num"":58,""reviews_percentage"":23},""4_stars"":{""reviews_num"":92,""reviews_percentage"":38},""5_stars"":{""reviews_num"":74,""reviews_percentage"":30}}","""$3.99""",external,external_focus,True
https://www.goodreads.com/book/show/308227.Basic_Econometrics,308227.Basic_Econometrics,Basic Econometrics,"[""Damodar N. Gujarati""]",3.78,459,27.0,The product is new condition. There may be minor ware house scratches otherwise it is new.,"[""Economics"",""Textbooks"",""Nonfiction"",""Mathematics"",""Finance"",""Academic"",""Science"",""College"",""School"",""Grad School""]",1/1/1987,1987.0,"{""name"":""Damodar N. Gujarati"",""num_books"":18,""num_followers"":""15""}","{""1_stars"":{""reviews_num"":25,""reviews_percentage"":5},""2_stars"":{""reviews_num"":33,""reviews_percentage"":7},""3_stars"":{""reviews_num"":102,""reviews_percentage"":22},""4_stars"":{""reviews_num"":155,""reviews_percentage"":33},""5_stars"":{""reviews_num"":144,""reviews_percentage"":31}}","""$48.25""",external,internal_focus,False
